FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.588	-0.06435
2.589	-0.10527
2.590	-0.14896
2.591	-0.04464
2.592	-0.01303
2.593	-0.05774
2.594	0.16841
2.595	0.78650
2.596	0.14385
2.597	0.10027
2.598	0.04902
2.599	-0.05142
2.600	-0.06633
2.601	-0.12011
2.602	-0.00650
2.603	0.07704
2.604	-0.04390
2.605	-0.43773
2.606	-0.24366
2.607	0.23635
2.608	0.31774
2.609	0.51260
2.610	0.38999
2.611	0.02810
2.612	0.13440
2.613	0.21358
2.614	0.25444
2.615	0.09768
2.616	0.15480
2.617	0.25804
2.618	0.02968
2.619	-0.15096
2.620	-0.43349
2.621	-0.28840
2.622	-0.14239
2.623	0.00878
2.624	-0.05320
2.625	-0.00394
2.626	-0.07168
2.627	-0.33963
2.628	-0.10309
2.629	-0.06710
2.630	-0.10818
2.631	-0.43236
2.632	-0.50680
2.633	-0.24994
2.634	-0.10087
2.635	-0.08014
2.636	0.03157
2.637	0.11213
2.638	0.05843
2.639	-0.00895
2.640	0.01621
2.641	0.06286
2.642	0.15475
2.643	0.06623
2.644	-0.06078
2.645	-0.20573
2.646	-0.15997
2.647	0.01704
2.648	0.05063
2.649	-0.02730
2.650	0.06115
2.651	0.14243
2.652	0.05314
2.653	-0.02236
2.654	-0.01924
2.655	0.33348
2.656	0.28396
2.657	0.04963
2.658	-0.00085
2.659	-0.02558
2.660	-0.05159
2.661	-0.14994
2.662	-0.09283
2.663	-0.08566
2.664	-0.13236
2.665	0.41982
2.666	0.88268
2.667	0.35656
2.668	0.11120
2.669	0.07407
2.670	-0.06792
2.671	-0.02699
2.672	-0.02625
2.673	-0.05855
2.674	-0.14645
2.675	-0.22556
2.676	-0.13929
2.677	-0.65214
