The University of Reading, Infrared Multilayer Laboratory
http://www.cyber.rdg.ac.uk/irfilters/
---------------------------------------------------------
FILENAME:	2ng015_8.txt
TITLE: 	AFC Filter 22 CdTe S29 Sample 2F8 @ 15K, 2.6°I, In f/8 (CDCR 04928/04959, SMCR 02117)
CREATION_DATE:	13-Aug-2003
AUTHOR:	Richard Sherwood
TEMPERATURE:	15K
ANGLE:	0°
DATA:
2.594	-0.05451
2.595	-0.07121
2.596	0.01837
2.597	0.01466
2.598	0.00938
2.599	0.01023
2.600	0.01147
2.601	-0.01693
2.602	-0.00722
2.603	-0.01520
2.604	-0.01828
2.605	-0.01555
2.606	0.02608
2.607	0.02381
2.608	0.01027
2.609	0.01817
2.610	0.00456
2.611	-0.02323
2.612	0.00703
2.613	0.03148
2.614	0.02734
2.615	0.00701
2.616	0.00564
2.617	0.03474
2.618	0.00841
2.619	0.01898
2.620	0.05462
2.621	0.02041
2.622	-0.00662
2.623	-0.01418
2.624	-0.00345
2.625	0.01545
2.626	0.00261
2.627	0.00030
2.628	0.01019
2.629	0.02808
2.630	0.01887
2.631	-0.05351
2.632	-0.04646
2.633	0.01483
2.634	0.02667
2.635	0.00274
2.636	0.00326
2.637	-0.00742
2.638	0.00282
2.639	0.00549
2.640	-0.01138
2.641	-0.00747
2.642	0.00533
2.643	0.01605
2.644	0.02111
2.645	0.02761
2.646	0.03620
2.647	0.01211
2.648	-0.01106
2.649	-0.01834
2.650	-0.00801
2.651	0.00789
2.652	0.01048
2.653	-0.01758
2.654	0.00268
2.655	0.01096
2.656	-0.01982
2.657	-0.01373
2.658	0.00453
2.659	0.01149
2.660	0.00277
2.661	0.01943
2.662	0.02672
2.663	0.01115
2.664	0.01213
2.665	0.10461
2.666	0.04620
2.667	-0.00515
2.668	0.02315
2.669	0.06666
2.670	0.11419
2.671	0.06507
2.672	0.03288
2.673	-0.00183
2.674	0.00850
2.675	0.04762
2.676	0.02945
2.677	0.00871
2.678	0.03405
2.679	0.01228
2.680	0.02484
2.681	0.05113
2.682	0.05249
2.683	0.02812
2.684	0.01019
2.685	0.01598
2.686	0.01149
2.687	-0.02443
2.688	-0.01041
2.689	0.00714
2.690	0.01515
2.691	0.02955
2.692	0.03271
2.693	0.01509
2.694	0.00224
2.695	0.01403
2.696	0.02578
2.697	0.01532
2.698	0.02719
2.699	0.01931
2.700	0.00411
2.701	0.01740
2.702	0.04446
2.703	0.05449
2.704	0.02597
2.705	-0.00751
2.706	0.00354
2.707	0.01149
2.708	0.01091
2.709	0.01721
2.710	0.02269
2.711	0.02441
2.712	0.02293
2.713	0.01281
2.714	0.01612
2.715	0.02036
2.716	-0.00230
2.717	-0.01873
2.718	0.01916
2.719	0.00783
2.720	-0.05456
2.721	-0.04372
2.722	0.00582
2.723	0.02190
2.724	0.06397
2.725	0.06083
2.726	0.01525
2.727	0.01595
2.728	0.01518
2.729	-0.00417
2.730	-0.00036
2.731	0.02563
2.732	0.03112
2.733	0.00659
2.734	0.00110
2.735	0.00011
2.736	0.02228
2.737	0.02389
2.738	0.03918
2.739	0.04986
2.740	0.06756
2.741	-0.16706
2.742	-0.28911
2.743	-0.07081
2.744	-0.02876
2.745	-0.02777
2.746	-0.02379
2.747	-0.01425
2.748	-0.01957
2.749	-0.01324
2.750	-0.01383
2.751	-0.05052
2.752	-0.06457
2.753	-0.00255
2.754	0.03159
2.755	0.02139
2.756	-0.02916
2.757	-0.01821
2.758	0.00136
2.759	0.02926
2.760	0.02735
2.761	0.02945
2.762	0.04511
2.763	0.00998
2.764	-0.01112
2.765	0.00386
2.766	-0.00637
2.767	-0.01244
2.768	-0.00496
2.769	0.01054
2.770	0.01540
2.771	-0.00380
2.772	-0.01476
2.773	-0.00459
2.774	0.02044
2.775	0.02042
2.776	0.02542
2.777	0.01609
2.778	0.00858
2.779	0.00283
2.780	-0.01106
2.781	-0.02602
2.782	-0.02458
2.783	-0.00805
2.784	0.01215
2.785	0.03149
2.786	0.04010
2.787	0.04766
2.788	0.05569
2.789	0.02953
